date,avg_load_mw
2023-01-31,43306.683751854136
2023-02-28,45083.46130427174
2023-03-31,42827.51062927388
2023-04-30,42672.36089408406
2023-05-31,49091.90177482048
2023-06-30,59367.21309952319
2023-07-31,63831.06016978121
2023-08-31,67654.46664767883
2023-09-30,59800.31370427392
2023-10-31,47676.08161989762
2023-11-30,43618.44714358261
2023-12-31,44790.62122952735
2024-01-31,51406.24109395512
2024-02-29,44092.22220858021
2024-03-31,43414.96430908567
2024-04-30,46543.50033073768
2024-05-31,53825.54218803787
2024-06-30,61730.65433186232
2024-07-31,59971.17688816831
2024-08-31,66347.43901844039
2024-09-30,57077.15393576086
2024-10-31,52862.77022350912
2024-11-30,46928.39700195217
2024-12-31,46976.03397896914
2025-01-31,54484.706475942505
2025-02-28,51736.54394699689
2025-03-31,46783.90165224158
2025-04-30,50788.54294833768
2025-05-31,55452.66596577279
2025-06-30,62826.62069638551
2025-07-31,64414.06285744881
2025-08-31,66553.51871761993
2025-09-30,61237.75773997681
2025-10-31,55178.556487366055
2025-11-30,49412.983713199996
